"Date","Bitfinex Net Flows","Binance Net Flows","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions per Second Count","Telegram Users"
"2017-10-17","21979060.380565606","1141751.5182640124","3195201.10291818","40.0393777739974","63.1347820572764","0.2","5.85197916666667",""
"2017-10-16","-4548373.761836999","-252922.32076823985","1970476.97124869","32.0721548773552","97.2847181660211","0.29093448","4.72565972222222",""
"2017-10-15","8126927.955550554","297505.6909133802","2750283.11429288","40.6700386742576","95.22747056877236","0.28401278","3.80695601851852",""
"2017-10-14","21795407.086831074","1934606.8953293758","2647372.79576322","41.6585079931031","104.22351607551786","0.307226579957031","3.84454861111111",""
"2017-10-13","25619859.92740758","-746735.4689432753","4149691.90897809","50.0857254182617","229.2235253256061","0.68197147251053","4.38814814814815",""
"2017-10-12","12980615.522472098","-855024.3647956692","3129027.34813123","44.1117162049833","88.00292319377245","0.290705066456402","4.20614583333333",""
"2017-10-11","3157353.98543179","1094486.2714330899","2898173.61471813","39.7238803209739","62.17249847739926","0.205843827210654","3.98501157407407",""
"2017-10-10","4500941.959327418","-1159908.900294239","3058845.39218503","42.8073979570979","116.42806510774261","0.390953039","4.04635416666667",""
"2017-10-09","3576136.931748755","712352.7244636555","3035518.31607643","44.4447330610924","62.33394764272424","0.21046684","3.79828703703704",""
"2017-10-08","-1821446.7507413893","-17093.91799353649","2415645.19972708","40.0347137035362","120.67445212030378","0.390770959999995","3.43552083333333",""
"2017-10-07","-1481274.4748613115","-1208622.275977267","1981464.82326624","36.2721332813505","68.57181953985658","0.220106321764545","3.3691087962963",""
"2017-10-06","894097.3731487754","-901767.2285175262","2906708.85221691","43.8965611615052","79.9386222190747","0.260076642988407","3.70233796296296",""
"2017-10-05","-1450503.6974881855","943423.2448189259","2481348.18059872","43.893987952068","96.95127142042772","0.32853226","3.64361111111111",""
"2017-10-04","8498390.88823102","541598.6722042006","3808245.70344003","70.3446890650737","129.87154134880967","0.44453243","3.5578587962963",""
